No,Symb,Comp,market cap,stock price,change,revenue
1,MSFT,Microsoft Corporation,"3,008.09B",404.83,1.49%,218.31B
2,AAPL,Apple Inc,"3,022.57B",195.54,0.18%,383.29B
3,GOOG,Alphabet Inc.,"1,877.78B",150.93,1.51%,297.13B
4,GOOGL,Alphabet Inc.,"1,876.23B",149.19,1.46%,297.13B
5,AMZN,"Amazon.com, Inc.","1,628.95B",157.68,1.06%,554.03B
6,NVDA,NVIDIA Corporation,"1,546.02B",626.02,4.56%,44.87B
7,META,"Meta Platforms, Inc.","1,014.53B",394.83,2.50%,126.96B
8,TSLA,"Tesla, Inc.",669.35B,210.55,0.67%,95.92B
9,AVGO,Broadcom Inc.,596.45B,1275.58,4.02%,35.82B
10,ASML,ASML Holding N.V.,339.33B,859.96,10.48%,28.46B
11,COST,Costco Wholesale Corporation,304.69B,686.66,-0.14%,245.65B
12,AMD,"Advanced Micro Devices, Inc.",290.27B,179.73,6.72%,22.11B
13,ADBE,Adobe Inc.,277.22B,613.39,2.71%,19.41B
14,NFLX,"Netflix, Inc.",242.49B,554.36,12.63%,33.72B
15,PEP,"PepsiCo, Inc.",228.88B,166.52,-0.67%,91.62B
16,CSCO,"Cisco Systems, Inc.",209.45B,51.55,-0.41%,58.03B
17,INTC,Intel Corporation,207.88B,49.34,0.91%,52.86B
18,AZN,AstraZeneca PLC,206.53B,66.61,-0.21%,45.00B
19,PDD,PDD Holdings Inc.,191.25B,144,2.20%,27.31B
20,TMUS,"T-Mobile US, Inc.",188.07B,162.63,-0.68%,78.35B
21,INTU,Intuit Inc.,179.33B,640.51,0.74%,14.75B
22,CMCSA,Comcast Corporation,175.30B,43.67,-0.65%,120.87B
23,QCOM,QUALCOMM Incorporated,173.29B,155.05,1.01%,35.82B
24,AMGN,Amgen Inc.,164.76B,308.04,-0.60%,26.83B
25,TXN,Texas Instruments Incorporated,155.13B,170.86,-2.00%,17.52B
26,AMAT,"Applied Materials, Inc.",145.63B,175.3,4.94%,26.52B
27,HON,Honeywell International Inc.,133.17B,201.98,-0.47%,36.41B
28,ISRG,"Intuitive Surgical, Inc.",129.86B,369.28,-0.57%,61.26B
29,BKNG,Booking Holdings Inc.,122.08B,3499.09,0.24%,20.63B
30,LRCX,Lam Research Corporation,112.67B,854.38,2.89%,15.84B
31,VRTX,Vertex Pharmaceuticals Incorporated,110.38B,428.55,-2.54%,9.65B
32,PANW,"Palo Alto Networks, Inc.",108.53B,344.2,0.01%,7.21B
33,SBUX,Starbucks Corporation,104.58B,92.39,0.46%,35.98B
34,REGN,"Regeneron Pharmaceuticals, Inc.",101.83B,950.57,-0.42%,13.10B
35,MDLZ,"Mondelez International, Inc.",100.84B,74.11,-0.40%,35.40B
36,ADI,"Analog Devices, Inc.",99.58B,200.7,-0.33%,12.31B
37,GILD,"Gilead Sciences, Inc.",98.49B,79.07,-0.52%,27.39B
38,ADP,"Automatic Data Processing, Inc.",98.41B,239.2,-0.48%,18.31B
39,MU,"Micron Technology, Inc.",96.78B,87.7,0.19%,16.18B
40,ABNB,"Airbnb, Inc.",91.70B,141.29,-0.71%,9.60B
41,MELI,"MercadoLibre, Inc.",90.50B,1789.76,1.70%,13.21B
42,KLAC,KLA Corporation,87.28B,642.35,3.72%,10.17B
43,SNPS,"Synopsys, Inc.",84.23B,552.23,0.61%,5.84B
44,CDNS,"Cadence Design Systems, Inc.",81.27B,298.7,1.07%,3.92B
45,WDAY,"Workday, Inc.",77.66B,296.29,1.71%,6.98B
46,CRWD,"CrowdStrike Holdings, Inc.",73.21B,304.99,2.60%,2.85B
47,MAR,"Marriott International, Inc.",70.05B,238.53,0.60%,23.54B
48,CSX,CSX Corporation,68.65B,34.77,-0.36%,14.71B
